title,rating,review,date
Best,5,This is the best place to find authentic sneakers. Recommended for anyone looking for shoes.,2017-12-02T23:09:25Z
Terrible service .,1,I ordered the Kobe ad straight up black on black payed all the money and got an email saying something about the can't reach the seller I've had bad experiences with online shopping but I will definitely not use this app ever again tried to give them a chance ig this what I get,2017-12-02T18:18:29Z
Didn't work,1,I tried to use a prepaid debit card to order some shoes but everyone is try to enter my zip code in it tell me that MY zip code is incorrect and won't let me order shoes,2017-12-02T18:03:07Z
Crashes,4,Whenever the shoes listed under used shoes try to load it would always crash the app. Please fix,2017-12-01T21:22:45Z
Yâ€™all figured it out,5,"_Ÿ‘è_Ÿè__Ÿ‘è_Ÿè__Ÿ‘è_Ÿè_  youâ€™ve combined convenient buying, selling and returns. I just purchased a pair of AirMax that I love but arenâ€™t comfortable for my feet. The return and refund process is easy. Also purchased the cool Grey 11s - a pair of sneakers Iâ€™ve never been able to afford, but because of the affirm payment plan I can get them. So excited _Ÿ‘Ÿ _Ÿ‘Ÿ thank you! Wish I knew about goat sooner.",2017-12-01T20:14:32Z
Great Service-shipped as advertised,5,"Last week, I placed an order for yeezy boost beluga 2.0s. As soon as they shipped, they sent me a notification that my shoes were authenticated. They arrived yesterday with an authentication card in the box. Would order from them again",2017-11-30T12:29:41Z
Goat,5,Goat has proven to be a reliable outfit after  20 plus sells. I had some issues with GOAT throughout those transactions. When I was at fault they were fair; when they were at fault they were professional. I recently sold several pair back to back and there times have improved tremendously by opening more centers for verification. Shipped shoes on Monday at 1:00 pm and had cash Wednesday by 3:00 pm. Not certain but buyer will have shoes by weeks end. So far good experience. Wish they had more incentive for sellers past the current point structure. But of course I would.,2017-11-30T01:33:15Z
Refunding is a scam,5,"I ordered a pair of Pure Money 4s and it came to me used when I bought it brand new. I asked for a refund and shipped it out to them, but they say I am the one responsible for paying shipping no matter what. Even though I bought a brand new shoe and the seller shipped me an old used one that has brush strokes, scuffs and a messed up tongue! This is outrageous, shouldn't the seller pay shipping if I ask for a refund?They sent me a faulty shoe but somehow goat approved of itEdit: If you ever refund something always take pictures of the damaged parts. Customer service asked me for the pictures and I sent them and they basically said sorry and refunded me the shipping cost",2017-11-30T01:22:49Z
Awesome sneaker marketplace!,4,"Iâ€™ve bought a lot of shoes and sold a lot of shoes. GOAT needs to add a filter that tells you the prices so you can pick the budget of the shoes you wanna find. I think there service is decent and itâ€™s easy to sell used sneakers. My only real problem is that the system doesnâ€™t remember when I like photos so I come back to photos and see that I havenâ€™t liked them yet, but, I clearly remember doing so. Overall I think itâ€™s the best app to sell and buy shoes off of.",2017-11-29T04:47:01Z
1st time buyer,5,"Ordered my first pair of shoes yeezy v2 2.0 On a saturday Seller immediately excepted, and sent out shoe to goat Monday morning... now waiting for goat to authenticate everythingâ€™s going smooth so far",2017-11-29T03:41:02Z
Love it. Time is the key,5,I have been using the app for a while. Iâ€™ve never had a problem with any of the shoes the i ordered. It takes a while to get them yes a week may be two. This is a resale company. Here you not dealing with the seller. This company just want to make sure the you get authentic shoes. I have gotten all the adidas limited edition shoes with out a problem. And yes they are all real.,2017-11-29T00:28:30Z
UPDATE THE APP ALREADY!,2,Wish they can fix the filters maybe add prices â€œlow to highâ€ù or â€œhigh to lowâ€ù I just hate scrolling to look for some good deals. Just makes me not want to shop on this app!,2017-11-28T08:16:20Z
