Title,Author_URL,Author_Name,App_Version,Rating,Review,Date
Trash,https://itunes.apple.com/us/reviews/id478174368,～～：：我tyvsvyu,1.11.4,1,why does it has to be ios 10 or later to download？ How can I use it on ios 9,2017-12-04 06:37:40
Legit!,https://itunes.apple.com/us/reviews/id426293563,StampyCat520,1.13.1,3,This app is 100% legit! I have gotten so many sneakers from here at great prices! And great quality! I have not had 1 bad quality shoe! I definetly recommend this app! It’s great!,2017-12-03 23:16:19
No Help !,https://itunes.apple.com/us/reviews/id490920663,Vickkkkkkk9999,1.13.1,1,I have purchased a pair of yeezys beluga about 3 different times and after receiving the order confirmation email few minutes later i would receive an email saying i would be refunded with my money back due to an error with the payment. After the second try i changed the card information and used a second card and it continued to happen i would contact goat and get to answers back with this continues to happen. I even made another account to try and the same problem happened.,2017-12-03 04:09:52
Best,https://itunes.apple.com/us/reviews/id238941914,Jajajajajjasjnaa,1.13.1,5,This is the best place to find authentic sneakers. Recommended for anyone looking for shoes.,2017-12-02 23:09:25
Terrible service .,https://itunes.apple.com/us/reviews/id407300359,Justin TYV,1.13.1,1,I ordered the Kobe ad straight up black on black payed all the money and got an email saying something about the can't reach the seller I've had bad experiences with online shopping but I will definitely not use this app ever again tried to give them a chance ig this what I get,2017-12-02 18:18:29
Didn't work,https://itunes.apple.com/us/reviews/id669597614,jonny1432,1.13.1,1,I tried to use a prepaid debit card to order some shoes but everyone is try to enter my zip code in it tell me that MY zip code is incorrect and won't let me order shoes,2017-12-02 18:03:07
Crashes,https://itunes.apple.com/us/reviews/id520422294,Hshahabsbscay,1.13.1,4,Whenever the shoes listed under used shoes try to load it would always crash the app. Please fix,2017-12-01 21:22:45
Y’all figured it out,https://itunes.apple.com/us/reviews/id35308872,SirSoSoon,1.13.1,5,"👏🏾👏🏾👏🏾  you’ve combined convenient buying, selling and returns. I just purchased a pair of AirMax that I love but aren’t comfortable for my feet. The return and refund process is easy. 

Also purchased the cool Grey 11s - a pair of sneakers I’ve never been able to afford, but because of the affirm payment plan I can get them. So excited 👟 👟 thank you! Wish I knew about goat sooner.",2017-12-01 20:14:32
Great Service-shipped as advertised,https://itunes.apple.com/us/reviews/id16061610,Missyf_66,1.13.1,5,"Last week, I placed an order for yeezy boost beluga 2.0s. As soon as they shipped, they sent me a notification that my shoes were authenticated. They arrived yesterday with an authentication card in the box. Would order from them again",2017-11-30 12:29:41
Goat,https://itunes.apple.com/us/reviews/id29204736,rock2001,1.13.1,5,Goat has proven to be a reliable outfit after  20 plus sells. I had some issues with GOAT throughout those transactions. When I was at fault they were fair; when they were at fault they were professional. I recently sold several pair back to back and there times have improved tremendously by opening more centers for verification. Shipped shoes on Monday at 1:00 pm and had cash Wednesday by 3:00 pm. Not certain but buyer will have shoes by weeks end. So far good experience. Wish they had more incentive for sellers past the current point structure. But of course I would.,2017-11-30 01:33:15
